Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
Speakers,Device,Render,Realtek(R) Audio,,,,Active,Yes,0.00 dB,100.0%,-96.00 dB,0.00 dB,0.13 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{c23b9533-805e-46e9-abb1-40ddc33861ba},Realtek(R) Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{c23b9533-805e-46e9-abb1-40ddc33861ba},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{3f5113fc-7a87-4840-9ae6-acff6f576cc5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{84e12874-d9e6-44f2-963b-e34f9ff99952}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Plantronics Blackwire 3220 Series,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{1cc8771f-2216-4dd6-b2c7-54aaed5551b4}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Plantronics Blackwire 3220 Series\Application\System Sounds,,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{769fd4e5-868e-426f-9f7c-c09e5221d0d6}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,JBL Pulse 3,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{816a12e2-baaa-4f93-b892-5e023837add0}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,JBL Pulse 3\Application\System Sounds,,,,,,
System Sounds,Application,Render,Tribit XSound Go,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9706221b-e3b7-45a8-9b78-f30c8c40787d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Tribit XSound Go\Application\System Sounds,,,,,,
System Sounds,Application,Render,Plantronics Blackwire 3220 Series,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{307abe44-551d-4aaf-8ebb-2f7b24289480}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Plantronics Blackwire 3220 Series\Application\System Sounds,,1232,,,,
System Sounds,Application,Capture,Tribit XSound Go,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{b157e108-1fef-4655-9fc1-c4cb5fb3a5ed}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Tribit XSound Go\Application\System Sounds,,,,,,
System Sounds,Application,Render,JBL Pulse 3,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{a6b35542-b462-44b4-8504-b264cd0b0535}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,JBL Pulse 3\Application\System Sounds,,,,,,
System Sounds,Application,Render,Airdopes 800,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{a92c6a57-7c9b-4022-89a1-2fc793527c46}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Airdopes 800\Application\System Sounds,,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c23b9533-805e-46e9-abb1-40ddc33861ba}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,JBL Pulse 3 Hands-Free,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{0c786a3d-11fc-40c0-8301-f82e5c0628f5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,JBL Pulse 3 Hands-Free\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{abdc628b-4c2a-4e15-a3f1-ec7cda29c8e0}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,JBL Pulse 3 Hands-Free,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.0.00000000}.{ce4cc6f9-ee00-4db5-b035-89a8fd4f4b40}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,JBL Pulse 3 Hands-Free\Application\System Sounds,,,,,,
System Sounds,Application,Render,Airdopes 800,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{cf036a4f-5b6c-4ef6-b715-5e0e412ba8b6}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Airdopes 800\Application\System Sounds,,,,,,
VALORANT,Application,Render,Plantronics Blackwire 3220 Series,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{307abe44-551d-4aaf-8ebb-2f7b24289480}|\Device\HarddiskVolume4\Riot Games\VALORANT\live\ShooterGame\Binaries\Win64\VALORANT-Win64-Shipping.exe%b{00000000-0000-0000-0000-000000000000}|1%b25588,Plantronics Blackwire 3220 Series\Application\VALORANT,C:\Riot Games\VALORANT\live\ShooterGame\Binaries\Win64\VALORANT-Win64-Shipping.exe,25588,VALORANT  ,,,
Volume Control,Subunit,Capture,Tribit XSound Go,,,,,No,,100.0%,-63.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{2}.\\?\{2101c4c0-2c15-4035-a0d0-eec3c2277b11}#capture&cp_3782378936#6&dc4d46b&0#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\hfpmicrophonesideband/00020001,Tribit XSound Go\Subunit\Volume Control,,,,,,
Volume Control,Subunit,Render,Tribit XSound Go,,,,,No,,21.1%,-63.50 dB,0.00 dB,0.50 dB,2,"-13.50 dB, -13.50 dB","21.1%, 21.1%",{2}.\\?\{2101c4c0-2c15-4035-a0d0-eec3c2277b11}#render&cp_1040934928#6&dc4d46b&0#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\a2dpspeakersideband/00020001,Tribit XSound Go\Subunit\Volume Control,,,,,,
WhatsApp.Root,Application,Render,Plantronics Blackwire 3220 Series,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{307abe44-551d-4aaf-8ebb-2f7b24289480}|\Device\HarddiskVolume4\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe%b{00000000-0000-0000-0000-000000000000}|1%b20208,Plantronics Blackwire 3220 Series\Application\WhatsApp.Root,C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe,20208,,,,
WhatsApp.Root,Application,Capture,Plantronics Blackwire 3220 Series,,,,Inactive,No,,43.1%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{1cc8771f-2216-4dd6-b2c7-54aaed5551b4}|\Device\HarddiskVolume4\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe%b{00000000-0000-0000-0000-000000000000}|1%b20208,Plantronics Blackwire 3220 Series\Application\WhatsApp.Root,C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe,20208,,,,
WhatsApp.Root,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,59.7%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{abdc628b-4c2a-4e15-a3f1-ec7cda29c8e0}|\Device\HarddiskVolume4\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe%b{00000000-0000-0000-0000-000000000000}|1%b20208,Realtek(R) Audio\Application\WhatsApp.Root,C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe,20208,,,,
WhatsApp.Root,Application,Render,Plantronics Blackwire 3220 Series,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{307abe44-551d-4aaf-8ebb-2f7b24289480}|#%b{0A98E89C-6DB5-452A-9783-8B29A2AA4945}|1%b#,Plantronics Blackwire 3220 Series\Application\WhatsApp.Root,C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe,20208,,,,
WhatsApp.Root,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c23b9533-805e-46e9-abb1-40ddc33861ba}|\Device\HarddiskVolume4\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe%b{00000000-0000-0000-0000-000000000000}|1%b20208,Realtek(R) Audio\Application\WhatsApp.Root,C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.10.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe,20208,,,,
